UK District,Coords,UK District
B29,52.463°N 1.889°W,4
BN1,50°49?15?N 00°08?15?W,1
BS16,51.4947°N 2.5049°W,1
CB1,,3
CB2,,4
CB22,,1
CB3,,2
CB5,,1
CB6,,1
CM6,,1
CO4,,1
CR8,,1
CT2,,2
CV1,,1
CV11,,1
DA8,,1
DE24,,1
DE55,,1
DT9,,1
E1,,2
E16,,1
E2,,1
E3,,3
EX23,,1
G84,,1
GU22,,1
GU35,,1
GU7,,1
GU8,,1
HA8,,2
HP1,,1
HP4,,1
IG11,,2
IG7,,1
IP13,,1
IP31,,1
IP7,,1
KT13,,1
KT24,,1
KT4,,1
LE1,,1
LE11,,1
LE16,,1
LE67,,1
LL65,,1
LN1,,1
LN6,,1
LS23,,3
MK17,,1
MK18,,3
N1,,1
N15,,2
N16,,1
N2,,1
N3,,1
N5,,1
N6,,1
NG1,,1
NG2,,1
NG8,,1
NW2,,1
NW3,,5
NW4,,2
NW6,,8
NW8,,2
OX1,,5
OX11,,7
OX12,,2
OX14,,1
OX17,,2
OX2,,6
OX25,,1
OX27,,1
OX29,,1
OX3,,3
OX33,,1
OX4,,7
OX49,,1
OX7,,1
PE21,,2
PE29,,1
RG20,,1
RG8,,1
RG9,,1
RH10,,1
SE1,,2
SE10,,1
SE15,,3
SE16,,1
SE17,,5
SE18,,1
SE22,,1
SE24,,1
SE25,,2
SE26,,1
SE5,,2
SE6,,1
SK17,,1
SL6,,3
SL7,,2
SL9,,1
SM2,,1
SM6,,1
SN3,,2
SN8,,1
SO24,,2
SP4,,1
SS14,,1
SW10,,3
SW15,,1
SW18,,1
SW19,,4
SW3,,3
SW7,,2
TA13,,1
TN17,,1
TN30,,1
TN31,,1
TN34,,1
TS23,,1
TW13,,8
TW20,,1
TW3,,2
TW8,,1
UB2,,2
UB3,,1
W1,,6
W2,,1
W3,,2
W5,,1
W6,,6
W7,,4
W8,,2
WC1,,1
WD19,,1
WD4,,1
WD6,,1
WV10,,1
YO26,,2
